RIC,Monthly Return,Financial report,SDI
1681.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1229/2023122902054.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0927/2023092700025.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0428/2023042800073.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1681&src=MAIN&lang=EN&g_lang=en
1833.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010201825.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0904/2023090400057.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0322/2023032200425.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1833&src=MAIN&lang=EN&g_lang=en
1836.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0105/2024010500235.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0831/2023083100771.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0403/2023040302783.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1836&src=MAIN&lang=EN&g_lang=en
1880.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010201293.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0831/2023083100671.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0419/2023041900249.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1880&src=MAIN&lang=EN&g_lang=en
1909.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0103/2024010301601.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0830/2023083000381.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0809/2023080900768.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1909&src=MAIN&lang=EN&g_lang=en
1929.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0103/2024010301018.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1130/2023113000081.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0615/2023061500001.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/10/2023&sced=31/12/2023&sc=1929&src=MAIN&lang=EN&g_lang=en
1988.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010203048.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0922/2023092200528.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0421/2023042101907.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1988&src=MAIN&lang=EN&g_lang=en
2013.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010201586.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0913/2023091300534.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0428/2023042801011.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=2013&src=MAIN&lang=EN&g_lang=en
2020.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010202377.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0831/2023083101196.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/2023033001572.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=2020&src=MAIN&lang=EN&g_lang=en
2145.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010400944.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0925/2023092500344.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0426/2023042601262.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=2145&src=MAIN&lang=EN&g_lang=en
